Catalog number,Image license,Image URI,Object type,Rights holder,Institution URL,Higher classification,Person name,Person identifier
NHMUK010516781,CC BY,https://data.nhm.ac.uk/media/0f31b0d2-14fc-4c7b-821a-39e3b1f2864a,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Lepidoptera,L Livermore,0000-0002-7341-1843
NHMUK010516793,CC BY,https://data.nhm.ac.uk/media/b82e2e04-04fd-4f4a-9255-32e72e740c76,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Lepidoptera,L Livermore,0000-0002-7341-1844
NHMUK010516821,CC BY,https://data.nhm.ac.uk/media/2361a383-f774-4984-ac4d-0d0b45e1ce9d,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Lepidoptera,L Livermore,0000-0002-7341-1845
NHMUK010516881,CC BY,https://data.nhm.ac.uk/media/39a084b4-2167-4a0d-8344-2314d6546312,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Lepidoptera,L Livermore,0000-0002-7341-1846
NHMUK010516884,CC BY,https://data.nhm.ac.uk/media/83e7f516-5206-4639-a7e2-7a8336551145,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Lepidoptera,L Livermore,0000-0002-7341-1847
NHMUK010516908,CC BY,https://data.nhm.ac.uk/media/fa9d54ef-54d9-4437-b5ed-e09c0fcd8cfa,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Lepidoptera,L Livermore,0000-0002-7341-1847
NHMUK010516925,CC BY,https://data.nhm.ac.uk/media/72a1f169-655f-45ed-b7ab-1bdeeba26d38,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Lepidoptera,L Livermore,0000-0002-7341-1847
NHMUK010518453,CC BY,https://data.nhm.ac.uk/media/6e57b08a-1947-4703-9d31-0aaf5a331d4b,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Lepidoptera,L Livermore,0000-0002-7341-1847
NHMUK010518529,CC BY,https://data.nhm.ac.uk/media/1851bc73-4b30-4a84-a3fc-aa098b204899,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Lepidoptera,L Livermore,0000-0002-7341-1847
NHMUK010518553,CC BY,https://data.nhm.ac.uk/media/8a9fcfcd-f627-457b-a8fd-8a9394908b30,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Lepidoptera,L Livermore,0000-0002-7341-1847
